id,type,name,character,order,job,department,gender
11,crew,Marcia Lucas,,,Editor,Editing,1
11,crew,Dianne Crittenden,,,Casting,Production,1
11,crew,Roger Christian,,,Set Decoration,Art,2
11,crew,Leslie Dilley,,,Art Direction,Art,2
11,crew,John Mollo,,,Costume Design,Costume & Make-Up,2
11,crew,Phil Tippett,,,Animation,Visual Effects,2
11,crew,Richard Chew,,,Editor,Editing,2
11,crew,Paul Hirsch,,,Editor,Editing,2
11,crew,John Barry,,,Production Design,Art,2
11,crew,Paul Huston,,,Visual Effects,Visual Effects,0
101,cast,Jean Reno,Léon Montana,0,,,2
101,cast,Natalie Portman,Mathilda Lando,1,,,1
101,cast,Gary Oldman,Norman Stansfield,2,,,2
101,cast,Danny Aiello,Tony,3,,,2
101,cast,Peter Appel,Malky,4,,,2
101,cast,Michael Badalucco,Mathilda's Father,5,,,2
101,cast,Ellen Greene,Mathilda's Mother,6,,,1
101,cast,Elizabeth Regen,Mathilda's Sister,7,,,0
101,cast,Carl J. Matusovich,Mathilda's Brother,8,,,2
101,cast,Eric Challier,Bodyguard Chief,9,,,2
101,cast,Willi One Blood,1St Stansfield Man,10,,,0
101,cast,Don Creech,2nd Stansfield man,11,,,2
101,cast,Keith A. Glascoe,3rd Stansfield man (Benny),12,,,0
101,cast,Jernard Burks,Stansfield man,13,,,2
101,cast,Matt De Matt,Stansfield man,14,,,2
101,cast,Frank Senger,Fatman,15,,,2
101,cast,Stuart Rudin,Leon's Taxi driver,16,,,0
101,cast,Lucius Wyatt 'Cherokee',Tonto,17,,,2
101,cast,Maïwenn,Blond Babe,18,,,1
101,cast,Luc Bernard,Mickey,19,,,2
101,cast,Joseph Malerba,Stairway Swat,20,,,2
101,cast,Adam Busch,Manolo,21,,,2
101,cast,Jessie Keosian,Old Lady,22,,,1
101,cast,George Martin,Receptionist,23,,,2
101,cast,Alex Dezen,Ball Kid,24,,,2
101,cast,Kent Broadhurst,1st Policeman,25,,,2
101,cast,Tommy Hollis,2nd Policeman,26,,,2
101,cast,Peter Linari,1st Security man,27,,,2
101,cast,Arsène Jiroyan,Swat Hostage,28,,,2
101,cast,Geoffrey Bateman,Swat Chief,29,,,2
101,cast,Samy Naceri,Swat 1,30,,,2
101,cast,Michel Montanary,Swat 5,31,,,2
101,cast,Marc Andréoni,Swat 8,32,,,0
101,cast,Gilles Kleber,Swat 9,33,,,2
101,cast,Christophe Gautier,Swat 2,34,,,0
101,cast,Junior Almeida,Swat 3,35,,,0
101,cast,David Gregg,Swat 4,36,,,2
101,cast,Didier Legros,Swat 7,37,,,0
101,cast,Hervé Husson,Swat 6,38,,,0
101,crew,Luc Besson,,,Director,Directing,2
101,crew,Patrice Ledoux,,,Producer,Production,2
101,crew,Eric Serra,,,Original Music Composer,Sound,0
101,crew,Thierry Arbogast,,,Director of Photography,Camera,2
101,crew,Sylvie Landra,,,Editor,Editing,1
101,crew,Todd M. Thaler,,,Casting,Production,2
101,crew,Dan Weil,,,Production Design,Art,2
101,crew,Gerard Drolon,,,Art Direction,Art,0
101,crew,Françoise Benoît-Fresco,,,Set Decoration,Art,0
101,crew,Magali Guidasci,,,Costume Design,Costume & Make-Up,1
101,crew,Luc Besson,,,Screenplay,Writing,2
101,crew,Sylvette Baudrot,,,Script Supervisor,Directing,0
101,crew,Patrick Camboulive,,,Still Photographer,Camera,0
101,crew,Claude Serra,,,Executive Music Producer,Crew,0
101,crew,François Groult,,,Sound Re-Recording Mixer,Sound,0
101,crew,Gérard Lamps,,,Sound Re-Recording Mixer,Sound,0
