id,name,character,order,gender
424,Friedrich von Thun,Rolf Czurda,11,2
424,Krzysztof Luft,Herman Toffel,12,0
424,Harry Nehring,Leo John,13,2
424,Norbert Weisser,Albert Hujar,14,2
424,Adi Nitzan,Mila Pfefferberg,15,0
424,Michael Schneider,Juda Dresner,16,0
424,Miri Fabian,Chaja Dresner,17,0
424,Anna Mucha,Danka Dresner,18,0
424,Albert Misak,Mordecai Wulkan,19,2
424,Aldona Grochal,Mrs. Nussbaum,21,0
424,Jacek Wójcicki,Henry Rosner,22,0
424,Beata Paluch,Manci Rosner,23,0
424,Piotr Polk,Leo Rosner,24,0
424,Ezra Dagan,Rabbi Menasha Lewartow,25,0
424,Uri Avrahami,Chaim Nowak,26,2
424,Elina Löwensohn,Diana Reiter,27,1
424,Magdalena Komornicka,Goeth's Girl,29,0
424,Michael Gordon,Mr. Nussbaum,30,0
424,Philip Ettington,SS Sgt. Heller (uncredited),31,2
78,Harrison Ford,Rick Deckard,0,2
78,Rutger Hauer,Roy Batty,1,2
78,Sean Young,Rachael,2,1
78,Edward James Olmos,Gaff,3,2
78,M. Emmet Walsh,Bryant,4,2
78,Daryl Hannah,Pris,5,1
78,William Sanderson,J.F. Sebastian,6,2
78,Brion James,Leon Kowalski,7,2
78,Joe Turkel,Eldon Tyrell,8,0
78,Joanna Cassidy,Zhora,9,1
78,James Hong,Hannibal Chew,10,2
78,Morgan Paull,Holden,11,2
78,Kevin Thompson,Bear,12,2
78,John Edward Allen,Kaiser,13,2
78,Hy Pyke,Taffey Lewis,14,0
78,Kimiko Hiroshige,Cambodian Lady,15,1
78,Bob Okazaki,Howie Lee,16,0
78,Carolyn DeMirjian,Saleslady,17,1
78,Ben Astar,Abdul Ben Hassan (uncredited),18,2
78,Judith Burnett,Ming-Fa (uncredited),19,0
78,Leo Gorcey Jr.,Louie - Bartender (uncredited),20,0
78,Dawna Lee Heising,Showgirl (uncredited),21,1
78,Sharon Hesky,Bar Patron (uncredited),22,0
78,Kelly Hine,Showgirl (uncredited),23,0
78,Tom Hutchinson,Bartender (uncredited),24,0
78,Charles Knapp,Bartender (uncredited),25,0
78,Rose Mascari,Bar Patron (uncredited),26,0
78,Jirô Okazaki,Policeman (uncredited),27,0
78,Steve Pope,Policeman (uncredited),28,2
78,Robert Reiter,Policeman (uncredited),29,0
78,Alexis Rhee,Geisha #1 (uncredited),30,0
280,Arnold Schwarzenegger,The Terminator,0,2
280,Linda Hamilton,Sarah Connor,1,1
280,Robert Patrick,T-1000,2,2
280,Edward Furlong,John Connor,3,2
280,Michael Edwards,Old John Connor,4,2
280,Joe Morton,Dr. Miles Bennett Dyson,5,2
280,Earl Boen,Dr. Peter Silberman,6,2
280,Jenette Goldstein,Janelle Voight,7,1
280,Xander Berkeley,Todd Voight,8,2
280,S. Epatha Merkerson,Tarissa Dyson,9,1
280,Castulo Guerra,Enrique Salceda,10,2
280,Danny Cooksey,Tim,11,2
280,Sven-Ole Thorsen,Mall Security Guard (uncredited),12,2
280,DeVaughn Nixon,Danny Dyson,13,2
280,Ken Gibbel,Douglas,14,0
280,Robert Winley,Cigar Biker,15,0
280,Pete Schrum,Lloyd,16,2
280,Don Lake,Mossberg,17,2
280,Richard Vidan,Weatherby,18,2
280,Jim Palmer,Jock,19,2
280,Don Stanton,Lewis the Guard,20,2
280,Dan Stanton,Lewis as T-1000,21,2
280,Colin Patrick Lynch,Attendant,22,0
280,Nikki Cox,Girl,23,1
280,Tony Simotes,Vault Guard,24,0
280,Abdul Salaam El Razzac,Gibbons,25,2
280,Mike Muscat,Moshier,26,2
280,Dean Norris,SWAT Team Leader,27,2
280,Charles A. Tamburro,Police Chopper Pilot,28,0
280,Terrence Evans,Tanker Truck Driver,29,2
280,Denney Pierce,Burly Attendant,30,2
280,Mark Christopher Lawrence,Burly Attendant,31,2
280,Van Ling,Cyberdyne Tech,32,0
280,Gerard G. Williams,Jock,33,2
280,Martin DeLuca,Cyberdyne Tech (uncredited),34,0
280,Scott Shaw,Cyberdyne Tech (uncredited),35,0
280,Joel Kramer,Male Nurse (uncredited),36,2
280,Richard Ruskin,Frisbee Player (uncredited),37,0
280,Randy Walker,SWAT Officer (uncredited),38,0
280,William Wisher Jr.,Galleria Photographer / Cop (uncredited),39,2
280,Nancy Fish,Roadside Window Woman (Special Edition Restoration),40,1
280,Dalton Hamilton,Baby John Connor,41,0
274,Jodie Foster,Clarice Starling,0,1
274,Anthony Hopkins,Hannibal Lecter,1,2
274,Scott Glenn,Jack Crawford,2,2
274,Ted Levine,Jame 'Buffalo Bill' Gumb,3,2
274,Anthony Heald,Dr. Frederick Chilton,4,2
274,Brooke Smith,Catherine Martin,5,1
274,Diane Baker,Senator Ruth Martin,6,0
274,Kasi Lemmons,Ardelia Mapp,7,1
274,Frankie Faison,Barney Matthews,8,2
274,Tracey Walter,Lamar,9,2
274,Charles Napier,Lt. Boyle,10,2
274,Danny Darst,Sgt. Tate,11,2
274,Alex Coleman,Sgt. Pembry,12,0
274,Dan Butler,Roden,13,2
274,Paul Lazar,Pilcher,14,2
274,Ron Vawter,Paul Krendler,15,2
274,Roger Corman,FBI Director Hayden Burke,16,2
274,Lawrence A. Bonney,FBI Instructor,17,0
274,Lawrence T. Wrentz,Agent Burroughs,18,0
274,Don Brockett,Friendly Psychopath,19,0
274,Frank Seals Jr.,Brooding Psychopath,20,0
274,Stuart Rudin,Miggs,21,0
274,Masha Skorobogatov,Young Clarice,22,0
274,Jeffrie Lane,Clarice's Father,23,0
274,Leib Lensky,Mr. Lang,24,0
274,George 'Red' Schwartz,Mr. Lang's Driver,25,0
274,Jim Roche,TV Evangelist,26,0
274,James B. Howard,Boxing Instructor,27,0
274,Bill Miller,Mr. Brigham,28,2
274,Chuck Aber,Agent Terry,29,0
274,Gene Borkan,Oscar,30,2
274,Pat McNamara,Sheriff Perkins,31,0
274,Kenneth Utt,Dr. Akin,32,2
274,Darla,"""Precious"" (as ""Darla"")",33,0
274,Adelle Lutz,TV Anchor Woman,34,1
274,Obba Babatundé,TV Anchor Man,35,2
274,George Michael,TV Sportscaster,36,0
